url,TransactionAmount,CustomerAge,AccountBalance,Location,label
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
https://www.gmail.com,100.0,30,5000.0,Unknown,1
